Comment,Designator,Footprint,LCSC
Crystal_GND2,Y201,crystal_arduino,C13738
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
1k,"R302,R502,R602,R702",R_0603_smalltext,C21190
1N4148WS,"D302,D502,D602,D702",D_SOD-323,C2128
NPN_TOR,"Q301,Q501,Q601,Q701",SOT-23,C2145
LED,"D301,D307,D501,D507,D601,D607,D701,D707",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296
3k3,"R301,R304,R501,R504,R601,R604,R701,R704",R_0603_smalltext,C22978
47R,"R303,R503,R603,R703",R_0603_smalltext,C23182
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
SW_Push,"SW301,SW501,SW601,SW701",tactile_SMD_6mm,C294569
100nF,C202,C_0402_1005Metric,C307331
12pF,"C201,C203",C_0603_1608Metric,C38523
G6K-2F-Y-TR DC12,"K301,K501,K601,K701",Relay_DPDT_Omron_G6K-2F-Y,C397192
6k2,R201,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
EL814,"U301,U501,U601,U701",SMDIP-4_W9.53mm,C500388
LED,D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
SS53,"D303,D304,D305,D306,D503,D504,D505,D506,D603,D604,D605,D606,D703,D704,D705,D706",D_SMA,C8678
