Comment,Designator,Footprint,LCSC
6N137,U701,SOP-8_6.62x9.15mm_P2.54mm,C110020
Crystal_GND2,Y201,crystal_arduino,C13738
100nF,C302,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C303,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
330nF,C301,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
22nF,C903,C_0402_1005Metric,C1729
AO3400A,"Q1001,Q1002,Q1101,Q1102",SOT-23,C20917
1N4148WS,"D1001,D1002,D1101,D1102,D701",D_SOD-323,C2128
150k,R903,R_0603_1608Metric,C22807
1k5,R701,R_0603_smalltext,C22843
220k,R901,R_0603_1608Metric,C22961
22R,"R1001,R1002,R1101,R1102",R_0603_smalltext,C23345
MB10S,D101,TO-269AA,C2488
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R1003,R1004,R1103,R1104,R702,R703,R704,R705",R_0603_smalltext,C25804
L,L901,L_Bourns-SRU8028_8.0x8.0mm,C2929438
SW_Push,"SW101,SW102,SW103,SW104",tactile_SMD_6mm,C294567
MT2499A,U901,TI_SO-PowerPAD-8,C3007555
100nF,"C202,C902,C906",C_0402_1005Metric,C307331
12pF,"C201,C203",C_0603_1608Metric,C38523
6k2,R201,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
20k,R902,R_0603_1608Metric,C4328
22uF,"C901,C904,C905",C_0603_1608Metric,C45783
G6K-2F-Y-TR DC5,"K1001,K1002,K1101,K1102",Relay_DPDT_Omron_G6K-2F-Y,C47190
1000uF,C101,CP_Elec_8x10.5,C5162347
Servo,J701,PinHeader_2x03_P2.54mm_Vertical,C65114
L78L05_SOT89,U301,SOT-89-3,C71136
LED,D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
