Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J201,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,206.77,-83.73,90.0,top
J202,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,237.75,-83.5,90.0,top
J301,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,206.77,-98.73,90.0,top
J302,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,237.75,-98.5,90.0,top
J401,Screw_Terminal_01x06,"PhoenixContact_MC_1,5_6-G-3.5_1x06_P3.50mm_Horizontal",200.4325,-111.25,-90.0,top
J501,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,206.77,-113.73,90.0,top
J502,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,237.75,-113.5,90.0,top
J701,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,206.77,-128.73,90.0,top
J702,Screw_Terminal_01x03,connector_3.50mm_3P horizontal_MALE,237.75,-128.5,90.0,top
K1,G5V-1,Relay_SPDT_Omron_G5V-1,225.1325,-83.6225,0.0,top
K2,G5V-1,Relay_SPDT_Omron_G5V-1,216.6325,-83.6225,0.0,top
K3,G5V-1,Relay_SPDT_Omron_G5V-1,225.1325,-98.6225,0.0,top
K4,G5V-1,Relay_SPDT_Omron_G5V-1,216.6325,-98.6225,0.0,top
K5,G5V-1,Relay_SPDT_Omron_G5V-1,225.1325,-113.6225,0.0,top
K6,G5V-1,Relay_SPDT_Omron_G5V-1,216.6325,-113.6225,0.0,top
K7,G5V-1,Relay_SPDT_Omron_G5V-1,225.1325,-128.6225,0.0,top
K8,G5V-1,Relay_SPDT_Omron_G5V-1,216.6325,-128.6225,0.0,top
R201,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,233.5,-83.566,-90.0,top
R202,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,231.0,-83.566,90.0,top
R301,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,233.5,-98.566,-90.0,top
R302,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,231.0,-98.566,90.0,top
R501,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,233.5,-113.566,-90.0,top
R502,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,231.0,-113.566,90.0,top
R701,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,233.5,-128.566,-90.0,top
R702,680R,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,231.0,-128.566,90.0,top
