Comment,Designator,Footprint,LCSC
6N137,U1001,SOP-8_6.62x9.15mm_P2.54mm,C110020
Crystal_GND2,Y201,crystal_arduino,C13738
470nF,C301,C_0805_2012Metric,C13967
CH340G,U701,SOIC-16_3.9x9.9mm_P1.27mm,C14267
100nF,"C302,C702,C706",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C303,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
22nF,C903,C_0402_1005Metric,C1532
22pF,"C703,C704",C_0603_1608Metric,C1653
AO3400A,"Q1001,Q1301,Q1401,Q1501,Q1601,Q1701,Q1801,Q1901,Q2001,Q2101,Q2201,Q2301,Q601,Q701,Q801,Q901",SOT-23,C20917
1k,"R1001,R705,R706",R_0603_smalltext,C21190
1N4148WS,D1001,D_SOD-323,C2128
150k,R903,R_0603_1608Metric,C22807
220k,R901,R_0603_1608Metric,C22961
22R,"R1004,R1301,R1401,R1501,R1601,R1701,R1801,R1901,R2001,R2101,R2201,R2301,R601,R701,R801,R904",R_0603_smalltext,C23345
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R1002,R1003,R1006,R1303,R1403,R1503,R1603,R1703,R1803,R1903,R2003,R2103,R2203,R2303,R603,R703,R803,R906",R_0603_smalltext,C25804
USB_B_Mini,J702,USB_Mini-B_Lumberg_2486_01_Horizontal,C2681563
L,L901,L_Bourns-SRN8040_8x8.15mm,C2929438
MT2499A,U901,TI_SO-PowerPAD-8,C3007555
100nF,"C1101,C202,C705,C902,C906",C_0402_1005Metric,C307331
22k,"R1005,R1302,R1402,R1502,R1602,R1702,R1802,R1902,R2002,R2102,R2202,R2302,R602,R702,R802,R905",R_0603_smalltext,C31850
default_switch,SW201,default_switch,C318884
12pF,"C201,C203",C_0603_1608Metric,C38523
6k2,"R201,R203,R204,R301",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
20k,R902,R_0603_1608Metric,C4328
22uF,"C901,C904,C905",C_0603_1608Metric,C45783
AMS1117-5.0,U301,SOT-223-3_TabPin2,C6187
SM4007,"D1002,D1301,D1401,D1501,D1601,D1701,D1801,D1901,D2001,D2101,D2201,D2301,D601,D701,D801,D901",D_SOD-123F,C64898
LED,"D201,D202,D203,D301",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
SS53,"D1101,D1102,D1103,D1104",D_SMA,C8678
Screw_Terminal_01x02,"J1101,J501","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",C880572
FEMALE,J101,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",C880574
Crystal,Y701,crystal_arduino,C9002
10uF,C701,C_0603_1608Metric,C96446
