Comment,Designator,Footprint,LCSC
Crystal_GND2,Y201,crystal_arduino,C13738
100nF,"C1,C2,C3,C302,C4,C5,C501,C6",C_0603_1608Metric,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C303,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
P-channel,"Q502,Q504",SOT-23,C15127
330nF,C301,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
N-channel,"Q503,Q505",SOT-23,C20917
1k,"R501,R504",R_0603_smalltext,C21190
NPN_TOR,"Q501,Q506",SOT-23,C2145
0R1,"R101,R102",R_1206_3216Metric,C25334
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R502,R503",R_0603_smalltext,C25804
100nF,C202,C_0402_1005Metric,C307331
12pF,"C201,C203",C_0603_1608Metric,C38523
6k2,"R201,R203",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
L78L05_SOT89,U301,SOT-89-3,C71136
LED,"D201,D202",LED_D3.0mm,C84256
