Comment,Designator,Footprint,LCSC
Crystal_GND2,Y201,crystal_arduino,C13738
100nF,"C202,C301,C402",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C403,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
330nF,C401,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
~,"Q701,Q702,Q801,Q802",SOT-23,C20917
1k,R102,R_0603_smalltext,C21190
100R,R101,R_0603_smalltext,C22775
~,"R701,R702,R801,R802",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23345
MB6S,"D101,D501,D601",TO-269AA,C2488
10k,"R202,R301,R302,R303",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
~,"R703,R704,R803,R804",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
47k,"R501,R601",R_0603_smalltext,C25819
12pF,"C201,C203",C_0603_1608Metric,C38523
6k2,R201,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
EL814,"U501,U601",SSO-4_6.7x5.1mm_P2.54mm_Clearance8mm,C500388
MAX485E,U301,SOIC-8_3.9x4.9mm_P1.27mm,C668206
L78L05_SOT89,U401,SOT-89-3,C71136
LED,D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
~,"D701,D702,D801,D802",D_SMA,C8678
Screw_Terminal_01x08,J103,"TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",
2000uF,C101,CP_Radial_D8.0mm_P2.50mm,
sensor,J101,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
HEADER_3x2,U201,PinSocket_2x03_P1.27mm_Vertical,
Screw_Terminal_01x08,J102,"TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",
RJ12,J302,RJ12,
RJ12,J301,RJ12,
SolderJumper_2_Open,JP101,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
