Comment,Designator,Footprint,LCSC
EL817S,"U1,U2",SMDIP-4_W7.62mm,C106900
Crystal_GND2,Y201,crystal_arduino,C13738
100nF,C302,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
100uF,C303,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
22nF,C903,C_0402_1005Metric,C1532
330nF,C301,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1615
1k,"R501,R803,R804,R805",R_0603_smalltext,C21190
1N4148WS,D505,D_SOD-323,C2128
NPN_TOR,"Q501,Q801,Q802,Q803",SOT-23,C2145
150k,R903,R_0603_1608Metric,C22807
220k,R901,R_0603_1608Metric,C22961
330R,"R1,R2",R_0603_smalltext,C23138
47R,"R301,R401",R_0603_smalltext,C23182
MB10S,D701,TO-269AA,C2488
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R203,R204,R801,R802",R_0603_smalltext,C25804
3k3,R3,R_0805_handsolder-smalltext,C26010
MT2499A,U901,TI_SO-PowerPAD-8,C3007555
100nF,"C202,C501,C902,C906",C_0402_1005Metric,C307331
12pF,"C201,C203",C_0603_1608Metric,C38523
6k2,R201,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
20k,R902,R_0603_1608Metric,C4328
22uF,"C901,C904,C905",C_0603_1608Metric,C45783
G6K-2F-Y-TR DC5,K501,Relay_DPDT_Omron_G6K-2F-Y,C47190
EL814,"U302,U402",SMDIP-4_W9.53mm,C500388
L78L05_SOT89,U301,SOT-89-3,C71136
LED,D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
SS53,"D301,D302,D303,D304,D401,D402,D403,D404,D501,D502,D503,D504,D506,D507",D_SMA,C8678
L,L901,L_Bourns-SRU8028_8.0x8.0mm,C92945
