Comment,Designator,Footprint,LCSC
LED,D505,02_solderpad_2.54,
LED,D1005,02_solderpad_2.54,
LED,D304,02_solderpad_2.54,
Conn_01x06,J1201,06_solderpad_2.54,
Conn_01x06,J1101,06_solderpad_2.54,
Conn_01x06,J1001,06_solderpad_2.54,
Conn_01x05,J901,05_solderpad_2.54,
Conn_01x04,J801,05_solderpad_2.54,
Conn_01x04,J701,03_solderpad_2.54,
Conn_01x04,J601,03_solderpad_2.54,
Conn_01x06,J501,06_solderpad_2.54,
Conn_01x05,J401,05_solderpad_2.54,
Conn_01x05,J301,05_solderpad_2.54,
Conn_01x04,J201,04_solderpad_2.54,
LED,D1101,LED_NO_SILK,
LED,D1001,LED_NO_SILK,
LED,D302,LED_NO_SILK,
LED,D402,LED_NO_SILK,
LED,D1102,LED_NO_SILK,
LED,D802,LED_NO_SILK,
LED,D602,LED_NO_SILK,
LED,D303,LED_NO_SILK,
LED,D901,LED_NO_SILK,
LED,D1204,LED_NO_SILK,
LED,D701,LED_NO_SILK,
LED,D401,LED_NO_SILK,
LED,D301,LED_NO_SILK,
LED,D904,LED_NO_SILK,
LED,D1201,LED_NO_SILK,
LED,D201,LED_NO_SILK,
LED,D702,LED_NO_SILK,
LED,D801,LED_NO_SILK,
LED,D404,LED_NO_SILK,
LED,D1203,LED_NO_SILK,
LED,D502,LED_NO_SILK,
LED,D403,LED_NO_SILK,
LED,D501,LED_NO_SILK,
LED,D1002,LED_NO_SILK,
LED,D203,LED_NO_SILK,
LED,D503,LED_NO_SILK,
LED,D803,LED_NO_SILK,
LED,D903,LED_NO_SILK,
LED,D1105,LED_NO_SILK,
LED,D804,LED_NO_SILK,
LED,D1103,LED_NO_SILK,
LED,D601,LED_NO_SILK,
LED,D1003,LED_NO_SILK,
LED,D1104,LED_NO_SILK,
LED,D902,LED_NO_SILK,
LED,D202,LED_NO_SILK,
LED,D1004,LED_NO_SILK,
LED,D504,LED_NO_SILK,
LED,D1202,LED_NO_SILK,
LED,D1205,LED_NO_SILK,
R,R1102,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1205,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1005,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1105,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R301,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R503,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1004,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R903,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R802,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R504,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1001,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1204,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1201,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R202,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R501,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1003,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R803,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1101,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R404,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R505,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R402,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R203,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R303,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R701,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R904,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R304,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R302,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1202,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R601,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1103,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R403,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R201,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R902,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R901,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R801,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1002,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R502,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1203,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R602,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R804,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R702,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R401,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R1104,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
