Comment,Designator,Footprint,LCSC
6N137,U1001,SOP-8_6.62x9.15mm_P2.54mm,C110020
Crystal_GND2,Y201,crystal_arduino,C13738
ATmega328-A,U202,TQFP-32_7x7mm_P0.8mm,C14877
22nF,C903,C_0402_1005Metric,C1532
1k,R1001,R_0603_smalltext,C21190
1N4148WS,"D1001,D701,D702,D801,D802,D901,D902",D_SOD-323,C2128
NPN_TOR,"Q701,Q702,Q801,Q802,Q901,Q902",SOT-23,C2145
150k,R903,R_0603_1608Metric,C22807
1k5,"R703,R704,R803,R804,R906,R907",R_0603_smalltext,C22843
220k,R901,R_0603_1608Metric,C22961
10k,R202,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
10k,"R1002,R1003,R701,R702,R801,R802,R904,R905",R_0603_smalltext,C25804
Screw_Terminal_01x04,J101,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",C2827883
L,L901,L_Bourns-SRN8040_8x8.15mm,C2929438
SW_Push,"SW601,SW602,SW603,SW604",tactile_SMD_6mm,C294567
MT2499A,U901,TI_SO-PowerPAD-8,C3007555
100nF,"C202,C204,C902,C906",C_0402_1005Metric,C307331
12pF,"C201,C203",C_0603_1608Metric,C38523
Screw_Terminal_01x03,"J103,J104","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C395869
6k2,R201,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4260
20k,R902,R_0603_1608Metric,C4328
22uF,"C901,C904,C905",C_0603_1608Metric,C45783
G6K-2F-Y-TR DC5,"K701,K702,K801,K802,K901,K902",Relay_DPDT_Omron_G6K-2F-Y,C47190
Conn_02x03_Odd_Even,"J701,J801,J901",PinHeader_2x03_P2.54mm_Vertical,C65114
1000uF,C1101,CP_Elec_8x10.5,C7471888
LED,D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
SS53,"D1101,D1102,D1103,D1104",D_SMA,C8678
