Comment,Designator,Footprint,LCSC
22uF,"C2,C4",C_1206_3216Metric,C12891
100nF,"C1,C3",C_0603_1608Metric,C14663
BC847,"Q1,Q2",SOT-23,C181140
1N4148WS,D2,D_SOD-323,C2128
MB10S,D1,TO-269AA,C2488
10k,"R1,R2",R_0603_smalltext,C25804
G6K-2F-Y-TR DC5,K1,Relay_DPDT_Omron_G6K-2F-Y,C397192
L78L12_SOT89,U1,SOT-89-3,C75501
DCC_IN,J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
DCC_out,J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
Conn_01x03_Male,J3,PinHeader_1x03_P2.54mm_Horizontal,
